parent_foodcode,parent_desc,ingred_code,ingred_desc,ingred_wt
11459990.0,"Yogurt, frozen, NS as to flavor, NS as to type of milk",1298.0,"Yogurt, frozen, flavors other than chocolate, lowfat",100.0
11460150.0,"Yogurt, frozen, NS as to flavor, lowfat milk",1298.0,"Yogurt, frozen, flavors other than chocolate, lowfat",100.0
11461280.0,"Yogurt, frozen, cone, chocolate, lowfat milk",1117.0,"Yogurt, plain, low fat, 12 grams protein per 8 ounce",61.59539999999999
11461280.0,"Yogurt, frozen, cone, chocolate, lowfat milk",19335.0,"Sugars, granulated",9.789
11461280.0,"Yogurt, frozen, cone, chocolate, lowfat milk",19166.0,"Cocoa, dry powder, unsweetened, processed with alkali",3.915599999999999
11553100.0,"Fruit smoothie, NFS",1117.0,"Yogurt, plain, low fat, 12 grams protein per 8 ounce",198.94412670479542
11553100.0,"Fruit smoothie, NFS",19297.0,Jams and preserves,27.128744550653924
11553100.0,"Fruit smoothie, NFS",999328.0,Vitamin D as ingredient,0.02712874455065392
11553110.0,"Fruit smoothie, with whole fruit and dairy",1117.0,"Yogurt, plain, low fat, 12 grams protein per 8 ounce",199.39287285525737
11553110.0,"Fruit smoothie, with whole fruit and dairy",19297.0,Jams and preserves,27.1899372075351
11553110.0,"Fruit smoothie, with whole fruit and dairy",999328.0,Vitamin D as ingredient,0.027189937207535098
11553120.0,"Fruit smoothie, with whole fruit and dairy, added protein",1117.0,"Yogurt, plain, low fat, 12 grams protein per 8 ounce",199.39287285525737
11553120.0,"Fruit smoothie, with whole fruit and dairy, added protein",19297.0,Jams and preserves,27.1899372075351
11553120.0,"Fruit smoothie, with whole fruit and dairy, added protein",999328.0,Vitamin D as ingredient,0.027189937207535098
12100100.0,"Cream, NS as to light, heavy, or half and half",1049.0,"Cream, fluid, half and half",100.0
12350010.0,"Dip, NFS",4025.0,"Salad dressing, mayonnaise, regular",48.54368932038835
12350010.0,"Dip, NFS",1056.0,"Cream, sour, cultured",48.54368932038835
12350010.0,"Dip, NFS",2047.0,"Salt, table",0.9708737864077669
12350010.0,"Dip, NFS",1094.0,"Milk, buttermilk, dried",0.9708737864077669
12350010.0,"Dip, NFS",2029.0,"Spices, parsley, dried",0.9708737864077669
13120300.0,"Ice cream bar, cake covered",18097.0,"Cake, pudding-type, chocolate, dry mix",30.262530810817804
13120300.0,"Ice cream bar, cake covered",14411.0,"Water, tap, drinking",15.332627443030988
13120300.0,"Ice cream bar, cake covered",4322.0,"Vegetable oil, averaged",4.7006471619543815
13120300.0,"Ice cream bar, cake covered",1123.0,"Egg, whole, raw, fresh",9.704194584196827
13120740.0,"Ice cream cone, no topping, NS as to flavor",19095.0,"Ice creams, vanilla",47.14285714285714
13120740.0,"Ice cream cone, no topping, NS as to flavor",18271.0,"Ice cream cones, cake or wafer-type",6.7032967032967035
13120740.0,"Ice cream cone, no topping, NS as to flavor",14429.0,"Water, tap, municipal",26.46153846153846
13120740.0,"Ice cream cone, no topping, NS as to flavor",19335.0,"Sugars, granulated",10.153846153846153
13120740.0,"Ice cream cone, no topping, NS as to flavor",1003.0,"Butter oil, anhydrous",4.230769230769231
13120740.0,"Ice cream cone, no topping, NS as to flavor",1091.0,"Milk, dry, nonfat, regular, without added vitamin A and vitamin D",4.230769230769231
13120740.0,"Ice cream cone, no topping, NS as to flavor",19860.0,"Cocoa, dry powder, hi-fat or breakfast, processed with alkali",1.0769230769230769
13121400.0,"Ice cream sundae, not fruit or chocolate topping, with whipped cream",19364.0,"Toppings, butterscotch or caramel",42.5
13140110.0,"Light ice cream, bar or stick, chocolate covered, with nuts",19088.0,"Ice creams, vanilla, light",47.400000000000006
13140110.0,"Light ice cream, bar or stick, chocolate covered, with nuts",4659.0,"Oil, industrial, coconut, confection fat, typical basis for ice cream coatings",8.100000000000001
13140110.0,"Light ice cream, bar or stick, chocolate covered, with nuts",19335.0,"Sugars, granulated",3.84
13140110.0,"Light ice cream, bar or stick, chocolate covered, with nuts",19166.0,"Cocoa, dry powder, unsweetened, processed with alkali",0.66
13140450.0,"Light ice cream, cone, NFS",19096.0,"Ice creams, vanilla, light, soft-serve",92.3076923076923
13140450.0,"Light ice cream, cone, NFS",18271.0,"Ice cream cones, cake or wafer-type",7.6923076923076925
