parent_foodcode,parent_desc,ingred_code,ingred_desc,ingred_wt
11000000,"Milk, human",1107,"Milk, human, mature, fluid",100
11100000,"Milk, NFS",1111,"Milk, averaged fat, with added vitamin A and D",35
11111000,"Milk, whole",1077,"Milk, whole, 3.25% milkfat, with added vitamin D",100
11111100,"Milk, low sodium, whole",1089,"Milk, low sodium, fluid",100
11111150,"Milk, calcium fortified, whole",1077,"Milk, whole, 3.25% milkfat, with added vitamin D",100
11111160,"Milk, calcium fortified, low fat (1%)",1082,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",100
11111170,"Milk, calcium fortified, fat free (skim)",42290,"Milk, fluid, nonfat, calcium fortified (fat free or skim)",100
11112110,"Milk, reduced fat (2%)",1079,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",100
11112120,"Milk, acidophilus, low fat (1%)",1082,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",100
11112130,"Milk, acidophilus, reduced fat (2%)",1079,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",100
11112210,"Milk, low fat (1%)",1082,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",100
11113000,"Milk, fat free (skim)",1085,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",100
11114300,"Milk, lactose free, low fat (1%)",1082,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",100
11114320,"Milk, lactose free, fat free (skim)",1085,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",100
11114330,"Milk, lactose free, reduced fat (2%)",1079,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",100
11114350,"Milk, lactose free, whole",1077,"Milk, whole, 3.25% milkfat, with added vitamin D",100
11115000,"Buttermilk, fat free (skim)",1088,"Milk, buttermilk, fluid, cultured, lowfat",100
11115100,"Buttermilk, low fat (1%)",1088,"Milk, buttermilk, fluid, cultured, lowfat",100
11115200,"Buttermilk, reduced fat (2%)",42189,"Milk, buttermilk, fluid, cultured, reduced fat",100
11115300,"Buttermilk, whole",1230,"Milk, buttermilk, fluid, whole",100
11115400,"Kefir, NS as to fat content",1289,"Kefir, lowfat, plain, LIFEWAY",50
11115400,"Kefir, NS as to fat content",1290,"Kefir, lowfat, strawberry, LIFEWAY",50
11116000,"Goat's milk, whole",1106,"Milk, goat, fluid, with added vitamin D",100
11120000,"Milk, dry, reconstituted, NS as to fat content",1154,"Milk, dry, nonfat, regular, with added vitamin A and vitamin D",23
11120000,"Milk, dry, reconstituted, NS as to fat content",14411,"Beverages, water, tap, drinking",237
11121100,"Milk, dry, reconstituted, whole",1090,"Milk, dry, whole, with added vitamin D",42.662
11121100,"Milk, dry, reconstituted, whole",14411,"Beverages, water, tap, drinking",237
11121210,"Milk, dry, reconstituted, low fat (1%)",1003,"Butter oil, anhydrous",2.5
11121210,"Milk, dry, reconstituted, low fat (1%)",1154,"Milk, dry, nonfat, regular, with added vitamin A and vitamin D",23
11121210,"Milk, dry, reconstituted, low fat (1%)",14411,"Beverages, water, tap, drinking",237
11121300,"Milk, dry, reconstituted, fat free (skim)",1091,"Milk, dry, nonfat, regular, without added vitamin A and vitamin D",23
