DRXFDCD,DRXFCLD,parent_foodcode,parent_desc,Similarity,
92650100,Full Throttle Energy Drink,95310200,Energy drink (Full Throttle),1,
92510630,"FRUIT JUICE DRINK, NFS",92510610,Fruit juice drink,1,
53203050,"COOKIE, FRUIT, BABY",53803050,"Cookie, fruit, baby food",1,
92560200,Powerade sports drink,95320500,Sports drink (Powerade),1,
92650000,RED BULL ENERGY DRINK,95310600,Energy drink (Red Bull),1,
24202000,"Turkey, drumstick, cooked, NS as to skin eaten",24202010,"Turkey, drumstick, cooked, skin not eaten",1,
53242250,"COOKIE, TEETHING, BABY FOOD",53803250,"Cookie, teething, baby",1,
24198740,CHICKEN NUGGETS,24198729,"Chicken nuggets, NFS",1,
12350110,Spinach and artichoke dip,14620115,Spinach and artichoke dip,1,
92650200,Monster Energy Drink,95310400,Energy drink (Monster),1,
58100310,"BURRITO W/ BEANS, MEATLESS",58100320,"Burrito with beans, meatless",1,
53540000,"BREAKFAST BAR, NFS",53714500,"Breakfast bar, NFS",1,
41435120,Zone Perfect Classic Crunch nutrition bar,53720800,Nutrition bar (Zone Perfect Classic Crunch),1,
53540200,"BREAKFAST BAR, CEREAL CRUST W/ FRUIT FILLING, LOWFAT",53714520,"Breakfast bar, cereal crust with fruit filling, lowfat",1,
92650205,Mountain Dew AMP Energy Drink,95310500,Energy drink (Mountain Dew AMP),1,
51121010,"BREAD, GARLIC",51121015,"Garlic bread, NFS",1,
53540500,"Breakfast bar, date, with yogurt coating",53714510,"Breakfast bar, date, with yogurt coating",1,
53540600,Milk 'n Cereal bar,53710600,Milk 'n Cereal bar,1,
32104950,"EGG OMELET OR SCRAMBLED EGG, NO FAT ADDED",32130070,"Egg omelet or scrambled egg, no added fat",1,
92650005,"Red Bull Energy Drink, sugar-free",95312600,"Energy drink, sugar-free (Red Bull)",1,
32105000,"EGG OMELET OR SCRAMBLED EGG, FAT ADDED",32130070,"Egg omelet or scrambled egg, no added fat",1,
24202050,"Turkey, drumstick, roasted, NS as to skin eaten",24202060,"Turkey, drumstick, roasted, skin not eaten",1,
63408010,GUACAMOLE W/ TOMATOES,63409015,Guacamole with tomatoes,1,
31109000,"Egg, white only, cooked, NS as to fat added in cooking",31108110,"Egg, white, cooked, no added fat",1,
92650800,Vault Energy Drink,95310800,Energy drink (Vault),1,
58100210,BURRITO W/ CHICKEN & BEANS,58100220,Burrito with chicken and beans,1,
25220100,"BEEF SAUSAGE, NFS",25220105,Beef sausage,1,
51207020,"BREAD, SPROUTED WHEAT, TOASTED",51300310,"Bread, sprouted wheat, toasted",1,
92565200,"Powerade Zero sports drink, low calorie",95322500,"Sports drink, low calorie (Powerade Zero)",1,
92650700,Rockstar Energy Drink,95310700,Energy drink (Rockstar),1,
92650705,"Rockstar Energy Drink, sugar-free",95312700,"Energy drink, sugar free (Rockstar)",1,
58100240,BURRITO W/ CHICKEN,58100200,Burrito with chicken,1,
51207010,"BREAD, SPROUTED WHEAT",51300300,"Bread, sprouted wheat",1,
31109020,"Egg, white only, cooked, fat added in cooking",31108110,"Egg, white, cooked, no added fat",1,
92570500,"Fluid replacement, 5% glucose in water",95330500,"Fluid replacement, 5% glucose in water",1,
24300100,"Duck, cooked, NS as to skin eaten",24300110,"Duck, cooked, skin eaten",1,
92651000,Energy drink,95311000,Energy Drink,1,
32104900,"EGG OMELET OR SCRAMBLED EGG, NS AS TO ADDED FAT",32130070,"Egg omelet or scrambled egg, no added fat",1,
92650210,"Mountain Dew AMP Energy Drink, sugar-free",95312500,"Energy drink, sugar free (Mountain Dew AMP)",1,
54408020,"PRETZELS, SOFT",54408400,"Pretzels, soft, NFS",1,
54408010,"PRETZELS, HARD",54408015,"Pretzels, hard, NFS",1,
