DRXFDCD,DRXFCLD,parent_foodcode,parent_desc,Similarity
92650100.0,Full Throttle Energy Drink,95310200.0,Energy drink (Full Throttle),1.0
92510630.0,"FRUIT JUICE DRINK, NFS",92510610.0,Fruit juice drink,1.0
53203050.0,"COOKIE, FRUIT, BABY",53803050.0,"Cookie, fruit, baby food",1.0
92560200.0,Powerade sports drink,95320500.0,Sports drink (Powerade),1.0
92650000.0,RED BULL ENERGY DRINK,95310600.0,Energy drink (Red Bull),1.0
24202000.0,"Turkey, drumstick, cooked, NS as to skin eaten",24202010.0,"Turkey, drumstick, cooked, skin not eaten",1.0
53242250.0,"COOKIE, TEETHING, BABY FOOD",53803250.0,"Cookie, teething, baby",1.0
24198740.0,CHICKEN NUGGETS,24198729.0,"Chicken nuggets, NFS",1.0
12350110.0,Spinach and artichoke dip,14620115.0,Spinach and artichoke dip,1.0
92650200.0,Monster Energy Drink,95310400.0,Energy drink (Monster),1.0
58100310.0,"BURRITO W/ BEANS, MEATLESS",58100320.0,"Burrito with beans, meatless",1.0
53540000.0,"BREAKFAST BAR, NFS",53714500.0,"Breakfast bar, NFS",1.0
41435120.0,Zone Perfect Classic Crunch nutrition bar,53720800.0,Nutrition bar (Zone Perfect Classic Crunch),1.0
53540200.0,"BREAKFAST BAR, CEREAL CRUST W/ FRUIT FILLING, LOWFAT",53714520.0,"Breakfast bar, cereal crust with fruit filling, lowfat",1.0
92650205.0,Mountain Dew AMP Energy Drink,95310500.0,Energy drink (Mountain Dew AMP),1.0
51121010.0,"BREAD, GARLIC",51121015.0,"Garlic bread, NFS",1.0
53540500.0,"Breakfast bar, date, with yogurt coating",53714510.0,"Breakfast bar, date, with yogurt coating",1.0
53540600.0,Milk 'n Cereal bar,53710600.0,Milk 'n Cereal bar,1.0
32104950.0,"EGG OMELET OR SCRAMBLED EGG, NO FAT ADDED",32130070.0,"Egg omelet or scrambled egg, no added fat",1.0
92650005.0,"Red Bull Energy Drink, sugar-free",95312600.0,"Energy drink, sugar-free (Red Bull)",1.0
32105000.0,"EGG OMELET OR SCRAMBLED EGG, FAT ADDED",32130070.0,"Egg omelet or scrambled egg, no added fat",1.0
24202050.0,"Turkey, drumstick, roasted, NS as to skin eaten",24202060.0,"Turkey, drumstick, roasted, skin not eaten",1.0
63408010.0,GUACAMOLE W/ TOMATOES,63409015.0,Guacamole with tomatoes,1.0
31109000.0,"Egg, white only, cooked, NS as to fat added in cooking",31108120.0,"Egg, white, cooked, fat added",1.0
92650800.0,Vault Energy Drink,95310800.0,Energy drink (Vault),1.0
58100210.0,BURRITO W/ CHICKEN & BEANS,58100220.0,Burrito with chicken and beans,1.0
25220100.0,"BEEF SAUSAGE, NFS",25220105.0,Beef sausage,1.0
51207020.0,"BREAD, SPROUTED WHEAT, TOASTED",51300310.0,"Bread, sprouted wheat, toasted",1.0
92565200.0,"Powerade Zero sports drink, low calorie",95322500.0,"Sports drink, low calorie (Powerade Zero)",1.0
92650700.0,Rockstar Energy Drink,95310700.0,Energy drink (Rockstar),1.0
92650705.0,"Rockstar Energy Drink, sugar-free",95312700.0,"Energy drink, sugar free (Rockstar)",1.0
58100240.0,BURRITO W/ CHICKEN,58100200.0,Burrito with chicken,1.0
51207010.0,"BREAD, SPROUTED WHEAT",51300300.0,"Bread, sprouted wheat",1.0
