Main.food.description,Ingredient code,FCID Description,Commodity Weight
"Crackers, wheat, reduced fat",18950,"Wheat flour, white, all-purpose, enriched, bleached",43.85
"Crackers, wheat, reduced fat",18950,"Wheat flour, white, all-purpose, enriched, bleached",42.781
"Crackers, wheat, reduced fat",18950,"Oil, soybean, salad or cooking",9.838
"Crackers, wheat, reduced fat",18950,"Sugars, granulated",2.995
"Crackers, wheat, reduced fat",18950,"Sugars, granulated",2.353
"Crackers, wheat, reduced fat",18950,"Syrups, corn, light",2.111
"Crackers, wheat, reduced fat",18950,"Oil, cottonseed, salad or cooking",0.855
"Crackers, milk",18223,"Wheat flour, white, all-purpose, enriched, bleached",65.247
"Crackers, milk",18223,"Oil, soybean, salad or cooking",13.844
"Crackers, milk",18223,"Sugars, granulated",5.756
"Crackers, milk",18223,"Sugars, granulated",4.522
"Crackers, milk",18223,"Syrups, corn, light",2.197
"Crackers, milk",18223,"Egg, whole, raw, fresh",1.8
"Crackers, milk",18223,"Milk, averaged fat, with added vitamin A and D",1.679
"Crackers, milk",18223,"Oil, cottonseed, salad or cooking",1.116
"Crackers, milk",18223,"Barley, pearled, raw",0.32
"Crackers, milk",18223,"Milk, averaged fat, with added vitamin A and D",0.027
"Crackers, milk",18223,"Milk, averaged fat, with added vitamin A and D",0.009
"Strudel, apple",18354,"Apples, raw, without skin",39.8
"Strudel, apple",18354,"Wheat flour, white, all-purpose, enriched, bleached",14.925
"Strudel, apple",18354,"Sugars, granulated",13.931
"Strudel, apple",18354,"Sugars, granulated",10.945
"Strudel, apple",18354,"Oil, soybean, salad or cooking",8.893
"Strudel, apple",18354,"Egg, yolk, raw, fresh",4.15
"Strudel, apple",18354,"Milk, averaged fat, with added vitamin A and D",2.263
"Strudel, apple",18354,"Oil, cottonseed, salad or cooking",0.773
"Strudel, apple",18354,"Ginger root, raw",0.166
"Strudel, apple",18354,"Spices, cinnamon, ground",0.166
"Strudel, apple",18354,"Milk, averaged fat, with added vitamin A and D",0.084
"Strudel, apple",18354,"Milk, averaged fat, with added vitamin A and D",0.019
