Main.food.description,Ingredient code
Eggnog,1057
"Dessert topping, semi solid, frozen",1073
"Milk, canned, condensed, sweetened",1095
"Milk, canned, evaporated, with added vitamin D and without added vitamin A",1096
"Milk, canned, evaporated, nonfat, with added vitamin A and vitamin D",1097
"Milk, chocolate, fluid, commercial, whole, with added vitamin A and vitamin D",1102
"Milk, chocolate, fluid, commercial, reduced fat, with added vitamin A and vitamin D",1103
"Milk, chocolate, lowfat, with added vitamin A and vitamin D",1104
Dulce de Leche,1225
"Ice cream, bar or stick, chocolate covered",1237
"Ice cream cone, chocolate covered, with nuts, flavors other than chocolate",1240
"Ice cream sandwich, vanilla, light, no sugar added",1242
"Nutritional supplement for people with diabetes, liquid",1250
"Ice cream bar, stick or nugget, with crunch coating",1264
"Ice cream bar, covered with chocolate and nuts",1300
"Light ice cream, Creamsicle",1302
"Milk, chocolate, lowfat, reduced sugar",1305
Clif Z bar,3000
Zwieback,3217
"Salad dressing, KRAFT Mayo Fat Free Mayonnaise Dressing",4013
"Salad dressing, russian dressing",4015
"Salad dressing, sesame seed dressing, regular",4016
"Salad dressing, thousand island, commercial, regular",4017
"Salad dressing, mayonnaise type, regular, with salt",4018
"Salad dressing, french dressing, reduced fat",4020
"Salad dressing, italian dressing, commercial, reduced fat",4021
"Salad dressing, russian dressing, low calorie",4022
"Salad dressing, thousand island dressing, reduced fat",4023
"Salad dressing, mayonnaise, regular",4025
"Salad dressing, mayonnaise, imitation, soybean",4027
"Sandwich spread, with chopped pickle, regular, unspecified oils",4030
"Salad dressing, italian dressing, commercial, regular",4114
"Salad dressing, french dressing, commercial, regular",4120
"Salad dressing, home recipe, vinegar and oil",4135
"Salad dressing, french dressing, fat-free",4367
"Salad dressing, blue or roquefort cheese dressing, commercial, regular",4539
"Salad dressing, honey mustard dressing, reduced calorie",4686
"Salad dressing, honey mustard, regular",4703
"Salad dressing, poppyseed, creamy",4704
"Salad dressing, caesar, fat-free",4705
"Dressing, honey mustard, fat-free",4706
"Mayonnaise, reduced fat, with olive oil",4708
"Salad dressing, mayonnaise-type, light",4709
"Soup, cream of asparagus, canned, condensed",6001
"Soup, bean with pork, canned, condensed",6004
"Soup, beef broth or bouillon canned, ready-to-serve",6008
"Soup, beef noodle, canned, condensed",6009
"Soup, cream of celery, canned, condensed",6010
"Soup, cheese, canned, condensed",6011
"Soup, chicken broth, canned, condensed",6013
"Soup, chicken, canned, chunky, ready-to-serve",6015
"Soup, cream of chicken, canned, condensed",6016
"Soup, chunky chicken noodle, canned, ready-to-serve",6018
"Soup, chicken noodle, canned, condensed",6019
"Soup, chicken rice, canned, chunky, ready-to-serve",6022
"Soup, chicken with rice, canned, condensed",6023
"Soup, chicken and vegetable, canned, ready-to-serve",6024
"Soup, clam chowder, manhattan style, canned, chunky, ready-to-serve",6027
"CAMPBELL'S, HEALTHY REQUEST, chicken with rice, condensed",6029
"Soup, clam chowder, new england, canned, condensed",6030
"Soup, minestrone, canned, chunky, ready-to-serve",6039
"Soup, minestrone, canned, condensed",6040
"Soup, cream of mushroom, canned, condensed",6043
"Soup, mushroom with beef stock, canned, condensed",6044
"Soup, onion, canned, condensed",6045
"Soup, cream of onion, canned, condensed",6046
"Soup, pea, green, canned, condensed",6049
"Soup, pea, split with ham, canned, chunky, ready-to-serve",6050
"Soup, cream of potato, canned, condensed",6053
"Soup, chunky vegetable, canned, ready-to-serve",6067
