Main.food.description,Food Description,ingred_clean,fcid_clean,Ingredient code,Similarity,correct,WWEIA Food Code
"Crackers, wheat, reduced fat","Crackers, wheat, reduced fat",Crackers wheat reduced fat,Crackers wheat reduced fat,18950,1,,
"Crackers, milk","Crackers, milk",Crackers milk,Crackers milk,18223,1,,
"Strudel, apple","Strudel, apple",Strudel apple,Strudel apple,18354,1,,
"Crackers, saltines, fat-free, low-sodium","Crackers, saltine, fat free, low sodium",Crackers saltine fat free low sodium,Crackers saltine fat free low sodium,18457,1,,
"Pretzels, soft, unsalted","Pretzels, soft, unsalted",Pretzels soft unsalted,Pretzels soft unsalted,25024,1,,
"Cream puff, eclair, custard or cream filled, iced","Cream puff, eclair, custard or cream filled, not iced",Cream puff eclair custard cream filled iced,Cream puff eclair custard cream filled iced,18969,1,,
"Bread, potato","Bread, potato",Bread potato,Bread potato,18971,1,,
"Bread, cheese","Bread, cheese",Bread cheese,Bread cheese,18972,1,,
"Focaccia, Italian flatbread, plain","Focaccia, Italian flatbread, plain",Focaccia Italian flatbread plain,Focaccia Italian flatbread plain,18973,1,,
Fruit syrup,Fruit syrup,Fruit syrup,Fruit syrup,19018,1,,
Chewing gum,"Chewing gum, NFS",Chewing gum,Chewing gum,19163,1,,
"Turkey and pork sausage, fresh, bulk, patty or link, cooked","Turkey and pork sausage, fresh, bulk, patty or link, cooked",Turkey pork sausage fresh bulk patty link cooked,Turkey pork sausage fresh bulk patty link cooked,42173,1,,
"Bratwurst, pork, cooked","Bratwurst, pork, cooked",Bratwurst pork cooked,Bratwurst pork cooked,7013,1,,
"Creamy dressing, made with sour cream and/or buttermilk and oil, reduced calorie","Creamy dressing, made with sour cream and/or buttermilk and oil, reduced calorie",Creamy dressing made sour cream andor buttermilk oil reduced calorie,Creamy dressing made sour cream andor buttermilk oil reduced calorie,42116,1,,
"Bologna, beef","Bologna, beef",Bologna beef,Bologna beef,7007,1,,
Blood sausage,Blood sausage,Blood sausage,Blood sausage,7005,1,,
"Ice creams, chocolate, light, no sugar added","Light ice cream, no sugar added, chocolate",Ice cream chocolate light sugar,Light ice cream sugar chocolate,19265,1,,
"Crackers, water biscuits","Crackers, water biscuits",Crackers water biscuit,Crackers water biscuit,28327,1,,
"Bread, wheat, sprouted","Bread, sprouted wheat",Bread wheat sprouted,Bread sprouted wheat,28316,1,,
"Bread, cinnamon","Bread, cinnamon",Bread cinnamon,Bread cinnamon,28315,1,,
"Sauce, worcestershire",Worcestershire sauce,Sauce worcestershire,Worcestershire sauce,6971,1,,
"Cookie, butter or sugar, with chocolate icing or filling","Cookie, butter or sugar, with chocolate icing or filling",Cookie butter sugar chocolate icing filling,Cookie butter sugar chocolate icing filling,28293,1,,
"Cookie, with peanut butter filling, chocolate-coated","Cookie, with peanut butter filling, chocolate-coated",Cookie peanut butter filling chocolate coated,Cookie peanut butter filling chocolate coated,28290,1,,
"Cookie, vanilla with caramel, coconut, and chocolate coating","Cookie, vanilla with caramel, coconut, and chocolate coating",Cookie vanilla caramel coconut chocolate coating,Cookie vanilla caramel coconut chocolate coating,28289,1,,
"Split pea with ham soup, canned, reduced sodium, prepared with water or ready-to-serve","Split pea and ham soup, canned, reduced sodium, prepared with water or ready-to-serve",Split pea ham soup canned reduced sodium prepared water ready serve,Split pea ham soup canned reduced sodium prepared water ready serve,6193,1,,
"Split pea soup, canned, reduced sodium, prepared with water or ready-to serve","Split pea soup, canned, reduced sodium, prepared with water or ready-to-serve",Split pea soup canned reduced sodium prepared water ready serve,Split pea soup canned reduced sodium prepared water ready serve,6192,1,,
"Sauce, barbecue",Barbecue sauce,Sauce barbecue,Barbecue sauce,6150,1,,
"Soup, bean & ham, canned, reduced sodium, prepared with water or ready-to-serve","Bean and ham soup, canned, reduced sodium, prepared with water or ready-to-serve",Soup bean ham canned reduced sodium prepared water ready serve,Bean ham soup canned reduced sodium prepared water ready serve,6190,1,,
"Soup, chicken noodle, reduced sodium, canned, ready-to-serve","Chicken noodle soup, canned, reduced sodium, ready-to-serve",Soup chicken noodle reduced sodium canned ready serve,Chicken noodle soup canned reduced sodium ready serve,27044,1,,
"Ravioli, meat-filled, with tomato sauce or meat sauce, canned","Ravioli, meat-filled, with tomato sauce or meat sauce, canned",Ravioli meat filled tomato sauce meat sauce canned,Ravioli meat filled tomato sauce meat sauce canned,22900,1,,
Potato salad with egg,Potato salad with egg,Potato salad egg,Potato salad egg,22971,1,,
"Danish pastry, cheese","Danish pastry, with cheese",Danish pastry cheese,Danish pastry cheese,18245,1,,
"Soup, minestrone, canned, reduced sodium, ready-to-serve","Minestrone soup, canned, reduced sodium, ready-to-serve",Soup minestrone canned reduced sodium ready serve,Minestrone soup canned reduced sodium ready serve,6177,1,,
"Soybean, curd cheese",Soybean curd cheese,Soybean curd cheese,Soybean curd cheese,43299,1,,
"Chicken, meatless, breaded, fried","Chicken, meatless, breaded, fried",Chicken meatless breaded fried,Chicken meatless breaded fried,43410,1,,
"Bread, oatmeal","Bread, oatmeal",Bread oatmeal,Bread oatmeal,18039,1,,
"Bread, pumpernickel","Bread, pumpernickel",Bread pumpernickel,Bread pumpernickel,18044,1,,
"Chicken, meatless","Chicken, meatless, NFS",Chicken meatless,Chicken meatless,43128,1,,
Clif Z bar,Clif Bar,Clif Z bar,Clif Bar,3000,1,,
"Nutritional supplement for people with diabetes, liquid","Nutritional supplement for people with diabetes, liquid",Nutritional supplement for people diabetes liquid,Nutritional supplement for people diabetes liquid,1250,1,,
"Bread, rye","Bread, rye",Bread rye,Bread rye,18060,1,,
"Ice cream cone, chocolate covered, with nuts, flavors other than chocolate","Ice cream cone, chocolate covered, with nuts, flavors other than chocolate",Ice cream cone chocolate covered nut flavor other than chocolate,Ice cream cone chocolate covered nut flavor other than chocolate,1240,1,,
"Ice cream, bar or stick, chocolate covered","Ice cream bar or stick, chocolate covered",Ice cream bar stick chocolate covered,Ice cream bar stick chocolate covered,1237,1,,
