DRXFDCD,foodcode,food_description
11623000,95110000,"Slim Fast Shake, meal replacement, regular, ready-to-drink"
11623000,95120000,"Nutritional drink or meal replacement, ready-to-drink, NFS"
11830970,95210020,"Slim Fast Shake Mix, high protein, powder"
11830970,95220010,"Nutritional drink mix or meal replacement, high protein, powder, NFS"
14010100,14104100,"Cheese, Cheddar"
14104010,14104100,"Cheese, Cheddar"
14410200,14104100,"Cheese, Cheddar"
14010100,14410110,"Cheese, American"
14104010,14410110,"Cheese, American"
14410200,14410110,"Cheese, American"
14104015,14104110,"Cheese, Cheddar, reduced fat"
14410300,14104110,"Cheese, Cheddar, reduced fat"
14104015,14410120,"Cheese, American, reduced fat"
14410300,14410120,"Cheese, American, reduced fat"
14410350,14104115,"Cheese, Cheddar, nonfat or fat free"
14410350,14410130,"Cheese, American, nonfat or fat free"
26100150,26100140,"Fish, NS as to type, coated, fried, made with oil"
26100150,26100141,"Fish, NS as to type, coated, fried, made with butter"
26100150,26100142,"Fish, NS as to type, coated, fried, made with margarine"
26100150,26100143,"Fish, NS as to type, coated, fried, made without fat"
26100150,26100144,"Fish, NS as to type, coated, fried, made with cooking spray"
26100210,26100260,"Fish stick, patty or nugget from fast food"
26100220,26100260,"Fish stick, patty or nugget from fast food"
26100230,26100260,"Fish stick, patty or nugget from fast food"
26100240,26100260,"Fish stick, patty or nugget from fast food"
26100250,26100260,"Fish stick, patty or nugget from fast food"
26100210,26100270,"Fish stick, patty or nugget from restaurant, home, or other place"
26100220,26100270,"Fish stick, patty or nugget from restaurant, home, or other place"
26100230,26100270,"Fish stick, patty or nugget from restaurant, home, or other place"
26100240,26100270,"Fish stick, patty or nugget from restaurant, home, or other place"
26100250,26100270,"Fish stick, patty or nugget from restaurant, home, or other place"
26107150,26107140,"Catfish, coated, fried, made with oil"
26107150,26107141,"Catfish, coated, fried, made with butter"
26109150,26107141,"Catfish, coated, fried, made with butter"
26107150,26107142,"Catfish, coated, fried, made with margarine"
26107150,26107143,"Catfish, coated, fried, made without fat"
26107150,26107144,"Catfish, coated, fried, made with cooking spray"
26109150,26109140,"Cod, coated, fried, made with oil"
26109150,26109142,"Cod, coated, fried, made with margarine"
26109150,26109143,"Cod, coated, fried, made without fat"
26109150,26109144,"Cod, coated, fried, made with cooking spray"
26115150,26115140,"Flounder, coated, fried, made with oil"
26115150,26115141,"Flounder, coated, fried, made with butter"
26115150,26115142,"Flounder, coated, fried, made with margarine"
26115150,26115143,"Flounder, coated, fried, made without fat"
26115150,26115144,"Flounder, coated, fried, made with cooking spray"
26127150,26127140,"Perch, coated, fried, made with oil"
26127150,26127141,"Perch, coated, fried, made with butter"
26127150,26127142,"Perch, coated, fried, made with margarine"
26127150,26127143,"Perch, coated, fried, made without fat"
26127150,26127144,"Perch, coated, fried, made with cooking spray"
26137150,26137140,"Salmon, coated, fried, made with oil"
26137150,26137141,"Salmon, coated, fried, made with butter"
26137150,26137142,"Salmon, coated, fried, made with margarine"
26137150,26137143,"Salmon, coated, fried, made without fat"
26137150,26137144,"Salmon, coated, fried, made with cooking spray"
26151150,26151140,"Trout, coated, fried, made with oil"
26151150,26151141,"Trout, coated, fried, made with butter"
26151150,26151142,"Trout, coated, fried, made with margarine"
26151150,26151143,"Trout, coated, fried, made without fat"
26151150,26151144,"Trout, coated, fried, made with cooking spray"
26157150,26157140,"Whiting, coated, fried, made with oil"
26157150,26157141,"Whiting, coated, fried, made with butter"
26157150,26157142,"Whiting, coated, fried, made with margarine"
26157150,26157143,"Whiting, coated, fried, made without fat"
26157150,26157144,"Whiting, coated, fried, made with cooking spray"
26158040,26158030,"Tilapia, coated, fried, made with oil"
26158040,26158031,"Tilapia, coated, fried, made with butter"
26158040,26158032,"Tilapia, coated, fried, made with margarine"
26158040,26158033,"Tilapia, coated, fried, made without fat"
26158040,26158034,"Tilapia, coated, fried, made with cooking spray"
31105000,31105010,"Egg, whole, fried without fat"
31105000,31105020,"Egg, whole, fried with margarine"
31105000,31105030,"Egg, whole, fried with oil"
31105000,31105040,"Egg, whole, fried with butter"
31105000,31105060,"Egg, whole, fried with animal fat or meat drippings"
31105000,31105080,"Egg, whole, fried with cooking spray"
31105000,31105090,"Egg, whole, fried, from fast food / restaurant"
31109020,32400060,"Egg white omelet, scrambled, or fried, made with margarine"
32400012,32400060,"Egg white omelet, scrambled, or fried, made with margarine"
31109020,32400065,"Egg white omelet, scrambled, or fried, made with oil"
32400012,32400065,"Egg white omelet, scrambled, or fried, made with oil"
31109020,32400070,"Egg white omelet, scrambled, or fried, made with butter"
32400012,32400070,"Egg white omelet, scrambled, or fried, made with butter"
31109020,32400075,"Egg white omelet, scrambled, or fried, made with cooking spray"
32400012,32400075,"Egg white omelet, scrambled, or fried, made with cooking spray"
32105000,32130000,"Egg omelet or scrambled egg, made with margarine"
32105000,32130010,"Egg omelet or scrambled egg, made with oil"
32105000,32130020,"Egg omelet or scrambled egg, made with butter"
32105000,32130040,"Egg omelet or scrambled egg, made with animal fat or meat drippings"
32105000,32130060,"Egg omelet or scrambled egg, made with cooking spray"
32105000,32130080,"Egg omelet or scrambled egg, from fast food / restaurant"
32105010,32130100,"Egg omelet or scrambled egg, with cheese, made with margarine"
32105010,32130110,"Egg omelet or scrambled egg, with cheese, made with oil"
32105010,32130120,"Egg omelet or scrambled egg, with cheese, made with butter"
32105010,32130140,"Egg omelet or scrambled egg, with cheese, made with animal fat or meat drippings"
32105010,32130160,"Egg omelet or scrambled egg, with cheese, made with cooking spray"
32105010,32130170,"Egg omelet or scrambled egg, with cheese, made without fat"
32105013,32130200,"Egg omelet or scrambled egg, with meat, made with margarine"
32105020,32130200,"Egg omelet or scrambled egg, with meat, made with margarine"
32105030,32130200,"Egg omelet or scrambled egg, with meat, made with margarine"
32105110,32130200,"Egg omelet or scrambled egg, with meat, made with margarine"
32105122,32130200,"Egg omelet or scrambled egg, with meat, made with margarine"
32105125,32130200,"Egg omelet or scrambled egg, with meat, made with margarine"
32105160,32130200,"Egg omelet or scrambled egg, with meat, made with margarine"
32105170,32130200,"Egg omelet or scrambled egg, with meat, made with margarine"
32105013,32130210,"Egg omelet or scrambled egg, with meat, made with oil"
32105020,32130210,"Egg omelet or scrambled egg, with meat, made with oil"
32105030,32130210,"Egg omelet or scrambled egg, with meat, made with oil"
32105110,32130210,"Egg omelet or scrambled egg, with meat, made with oil"
32105122,32130210,"Egg omelet or scrambled egg, with meat, made with oil"
32105125,32130210,"Egg omelet or scrambled egg, with meat, made with oil"
32105160,32130210,"Egg omelet or scrambled egg, with meat, made with oil"
32105170,32130210,"Egg omelet or scrambled egg, with meat, made with oil"
32105013,32130220,"Egg omelet or scrambled egg, with meat, made with butter"
32105020,32130220,"Egg omelet or scrambled egg, with meat, made with butter"
32105030,32130220,"Egg omelet or scrambled egg, with meat, made with butter"
32105110,32130220,"Egg omelet or scrambled egg, with meat, made with butter"
32105122,32130220,"Egg omelet or scrambled egg, with meat, made with butter"
32105125,32130220,"Egg omelet or scrambled egg, with meat, made with butter"
32105160,32130220,"Egg omelet or scrambled egg, with meat, made with butter"
32105170,32130220,"Egg omelet or scrambled egg, with meat, made with butter"
32105013,32130240,"Egg omelet or scrambled egg, with meat, made with animal fat or meat drippings"
32105020,32130240,"Egg omelet or scrambled egg, with meat, made with animal fat or meat drippings"
32105030,32130240,"Egg omelet or scrambled egg, with meat, made with animal fat or meat drippings"
32105110,32130240,"Egg omelet or scrambled egg, with meat, made with animal fat or meat drippings"
